VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1,2020-01-01 00:49:56,2020-01-01 01:18:17,1,4.40,1,N,262,68,1,20.5,3,0.5,4.85,0,0.3,29.15,2.5
2,2020-01-01 00:26:47,2020-01-01 00:37:51,1,1.53,1,N,234,233,1,9,0.5,0.5,2.56,0,0.3,15.36,2.5
2,2020-01-01 00:41:53,2020-01-01 00:47:02,2,.34,1,N,170,170,1,5,0.5,0.5,1.76,0,0.3,10.56,2.5
2,2020-01-01 00:53:13,2020-01-01 01:04:57,2,1.77,1,N,164,68,2,9.5,0.5,0.5,0,0,0.3,13.3,2.5
2,2020-01-01 00:43:35,2020-01-01 00:54:56,1,.99,1,N,229,170,1,8.5,0.5,0.5,1,0,0.3,13.3,2.5
2,2020-01-01 00:42:00,2020-01-01 00:58:45,1,3.07,1,N,238,116,2,13.5,0.5,0.5,0,0,0.3,14.8,0
2,2020-01-01 00:30:18,2020-01-01 01:01:03,1,23.47,1,N,132,195,1,61.5,0.5,0.5,12.56,0,0.3,75.36,0
2,2020-01-01 00:19:06,2020-01-01 00:25:28,2,.84,1,N,114,144,1,6,0.5,0.5,1.47,0,0.3,11.27,2.5
2,2020-01-01 00:29:17,2020-01-01 00:42:44,1,1.67,1,N,114,79,2,9.5,0.5,0.5,0,0,0.3,13.3,2.5
2,2020-01-01 00:43:40,2020-01-01 00:58:16,1,2.68,1,N,79,229,1,11,0.5,0.5,2.96,0,0.3,17.76,2.5
1,2020-01-01 00:37:09,2020-01-01 00:40:31,0,.20,1,N,48,50,1,4,3,0.5,0,0,0.3,7.8,2.5
1,2020-01-01 00:49:26,2020-01-01 01:31:05,2,10.10,1,N,48,18,2,37,3,0.5,0,0,0.3,40.8,2.5
1,2020-01-01 00:50:25,2020-01-01 01:06:09,3,4.80,1,N,232,263,1,16.5,3,0.5,4.05,0,0.3,24.35,2.5
2,2020-01-01 00:31:57,2020-01-01 00:48:23,1,3.77,1,N,162,238,2,14,0.5,0.5,0,0,0.3,17.8,2.5
2,2020-01-01 00:55:53,2020-01-01 01:06:42,1,1.65,1,N,238,142,2,9,0.5,0.5,0,0,0.3,12.8,2.5
2,2020-01-01 00:38:38,2020-01-01 00:43:17,1,.44,1,N,90,249,1,4.5,0.5,0.5,1.49,0,0.3,9.79,2.5
2,2020-01-01 00:44:53,2020-01-01 01:08:14,1,2.43,1,N,249,48,1,15,0.5,0.5,4.7,0,0.3,23.5,2.5
2,2020-01-01 00:30:31,2020-01-01 01:44:14,1,8.92,1,N,170,238,2,38,0.5,0.5,0,0,0.3,41.8,2.5
1,2020-01-01 00:41:13,2020-01-01 00:52:29,2,1.90,1,N,148,170,1,9.5,3,0.5,0,0,0.3,13.3,2.5
2,2020-01-01 00:10:56,2020-01-01 00:23:33,1,6.57,1,N,138,168,1,19,0.5,0.5,10,6.12,0.3,36.42,0
2,2020-01-01 00:41:24,2020-01-01 00:50:55,1,2.41,1,N,263,233,1,9.5,0.5,0.5,2.66,0,0.3,15.96,2.5
2,2020-01-01 00:26:50,2020-01-01 00:40:12,1,5.31,1,N,87,229,2,17,0.5,0.5,0,0,0.3,20.8,2.5
2,2020-01-01 00:45:07,2020-01-01 00:49:59,1,1.00,1,N,229,141,1,5.5,0.5,0.5,1.5,0,0.3,10.8,2.5
1,2020-01-01 00:46:55,2020-01-01 01:00:20,2,.50,1,N,161,229,2,9,3,0.5,0,0,0.3,12.8,2.5
2,2020-01-01 00:00:14,2020-01-01 00:15:46,1,7.25,1,N,79,168,2,21.5,0.5,0.5,0,0,0.3,25.3,2.5
2,2020-01-01 00:35:51,2020-01-01 00:38:07,1,.61,1,N,141,263,1,4,0.5,0.5,2,0,0.3,9.8,2.5
2,2020-01-01 00:42:03,2020-01-01 00:50:42,1,1.31,1,N,141,236,1,7.5,0.5,0.5,3.39,0,0.3,14.69,2.5
2,2020-01-01 00:56:20,2020-01-01 00:59:09,1,.62,1,N,236,237,1,4,0.5,0.5,1.56,0,0.3,9.36,2.5
1,2020-01-01 00:41:25,2020-01-01 01:03:46,2,4.30,1,N,181,232,1,18,3,0.5,4.35,0,0.3,26.15,2.5
2,2020-01-01 00:15:21,2020-01-01 00:19:07,2,.71,1,N,148,79,1,4.5,0.5,0.5,2.49,0,0.3,10.79,2.5
2,2020-01-01 00:23:24,2020-01-01 00:32:10,1,2.23,1,N,79,229,1,9,0.5,0.5,2.56,0,0.3,15.36,2.5
2,2020-01-01 00:54:16,2020-01-01 01:05:46,1,1.30,1,N,107,158,1,8.5,0.5,0.5,2.46,0,0.3,14.76,2.5
1,2020-01-01 00:26:43,2020-01-01 00:41:33,2,1.20,1,N,239,48,1,10.5,3,0.5,2.85,0,0.3,17.15,2.5
